Date,Time,Price,Type,Position,PNL,MAE,MFE
01/29/2020,100,98.00,Exit,Short,-609.39,731.27,487.51
01/29/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/29/2020,1300,98.00,Exit,Long,-607.99,729.59,486.39
01/29/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
01/30/2020,100,98.00,Exit,Long,1783.39,2140.06,1426.71
01/30/2020,900,100.00,Entry,Long,0.00,0.00,0.00
01/30/2020,1300,98.00,Exit,Long,-624.33,749.20,499.46
01/30/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
01/31/2020,100,98.00,Exit,Short,-1007.18,1208.62,805.74
01/31/2020,900,100.00,Entry,Short,0.00,0.00,0.00
01/31/2020,1300,98.00,Exit,Short,-521.10,625.31,416.88
01/31/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/01/2020,100,98.00,Exit,Long,517.61,621.13,414.09
02/01/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/01/2020,1300,98.00,Exit,Long,1569.97,1883.96,1255.97
02/01/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/02/2020,100,98.00,Exit,Long,1195.08,1434.10,956.07
02/02/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/02/2020,1300,98.00,Exit,Long,1373.95,1648.74,1099.16
02/02/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/03/2020,100,98.00,Exit,Short,1753.50,2104.20,1402.80
02/03/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/03/2020,1300,98.00,Exit,Short,-1210.70,1452.84,968.56
02/03/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/04/2020,100,98.00,Exit,Long,-965.73,1158.88,772.59
02/04/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/04/2020,1300,98.00,Exit,Short,1362.49,1634.99,1089.99
02/04/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/05/2020,100,98.00,Exit,Long,877.51,1053.01,702.00
02/05/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/05/2020,1300,98.00,Exit,Long,358.55,430.26,286.84
02/05/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/06/2020,100,98.00,Exit,Long,1129.76,1355.72,903.81
02/06/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/06/2020,1300,98.00,Exit,Long,-1068.62,1282.34,854.89
02/06/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/07/2020,100,98.00,Exit,Long,1076.20,1291.45,860.96
02/07/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/07/2020,1300,98.00,Exit,Short,1921.47,2305.76,1537.17
02/07/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/08/2020,100,98.00,Exit,Short,-1225.90,1471.08,980.72
02/08/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/08/2020,1300,98.00,Exit,Long,410.78,492.93,328.62
02/08/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/09/2020,100,98.00,Exit,Short,834.63,1001.56,667.70
02/09/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/09/2020,1300,98.00,Exit,Short,-268.87,322.64,215.10
02/09/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/10/2020,100,98.00,Exit,Short,-1057.14,1268.57,845.72
02/10/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/10/2020,1300,98.00,Exit,Short,-255.62,306.74,204.49
02/10/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/11/2020,100,98.00,Exit,Long,-1319.92,1583.91,1055.94
02/11/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/11/2020,1300,98.00,Exit,Short,1562.20,1874.63,1249.76
02/11/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/12/2020,100,98.00,Exit,Short,-1348.60,1618.32,1078.88
02/12/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/12/2020,1300,98.00,Exit,Short,-1151.11,1381.33,920.88
02/12/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/13/2020,100,98.00,Exit,Long,-892.10,1070.52,713.68
02/13/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/13/2020,1300,98.00,Exit,Long,-1128.28,1353.94,902.62
02/13/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/14/2020,100,98.00,Exit,Long,-1143.89,1372.67,915.11
02/14/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/14/2020,1300,98.00,Exit,Long,-1332.53,1599.04,1066.03
02/14/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/15/2020,100,98.00,Exit,Long,1177.57,1413.08,942.05
02/15/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/15/2020,1300,98.00,Exit,Long,-887.59,1065.11,710.08
02/15/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/16/2020,100,98.00,Exit,Short,1251.99,1502.38,1001.59
02/16/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/16/2020,1300,98.00,Exit,Long,-920.21,1104.25,736.17
02/16/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/17/2020,100,98.00,Exit,Short,-364.11,436.94,291.29
02/17/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/17/2020,1300,98.00,Exit,Long,-856.19,1027.43,684.95
02/17/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/18/2020,100,98.00,Exit,Short,-865.54,1038.65,692.43
02/18/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/18/2020,1300,98.00,Exit,Long,872.87,1047.45,698.30
02/18/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/19/2020,100,98.00,Exit,Short,-803.29,963.95,642.63
02/19/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/19/2020,1300,98.00,Exit,Long,-1104.90,1325.89,883.92
02/19/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/20/2020,100,98.00,Exit,Long,466.53,559.84,373.23
02/20/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/20/2020,1300,98.00,Exit,Long,524.21,629.05,419.37
02/20/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/21/2020,100,98.00,Exit,Short,2127.61,2553.13,1702.08
02/21/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/21/2020,1300,98.00,Exit,Long,-1314.05,1576.85,1051.24
02/21/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/22/2020,100,98.00,Exit,Short,1629.44,1955.33,1303.55
02/22/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/22/2020,1300,98.00,Exit,Short,-296.38,355.66,237.10
02/22/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/23/2020,100,98.00,Exit,Long,2141.44,2569.72,1713.15
02/23/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/23/2020,1300,98.00,Exit,Long,-972.33,1166.79,777.86
02/23/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/24/2020,100,98.00,Exit,Long,1662.09,1994.51,1329.67
02/24/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/24/2020,1300,98.00,Exit,Long,-1117.90,1341.48,894.32
02/24/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/25/2020,100,98.00,Exit,Long,817.26,980.71,653.81
02/25/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/25/2020,1300,98.00,Exit,Long,-567.05,680.46,453.64
02/25/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/26/2020,100,98.00,Exit,Short,-1272.96,1527.55,1018.37
02/26/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/26/2020,1300,98.00,Exit,Long,-1103.17,1323.80,882.53
02/26/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/27/2020,100,98.00,Exit,Long,-488.17,585.80,390.53
02/27/2020,900,100.00,Entry,Short,0.00,0.00,0.00
02/27/2020,1300,98.00,Exit,Short,881.32,1057.58,705.05
02/27/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
02/28/2020,100,98.00,Exit,Short,1400.52,1680.62,1120.41
02/28/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/28/2020,1300,98.00,Exit,Long,635.87,763.04,508.69
02/28/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
02/29/2020,100,98.00,Exit,Long,1927.57,2313.08,1542.05
02/29/2020,900,100.00,Entry,Long,0.00,0.00,0.00
02/29/2020,1300,98.00,Exit,Long,-1320.16,1584.19,1056.13
02/29/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/01/2020,100,98.00,Exit,Short,-697.38,836.86,557.90
03/01/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/01/2020,1300,98.00,Exit,Short,-629.15,754.98,503.32
03/01/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/02/2020,100,98.00,Exit,Long,-1062.11,1274.53,849.69
03/02/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/02/2020,1300,98.00,Exit,Long,-841.24,1009.49,672.99
03/02/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/03/2020,100,98.00,Exit,Long,-1320.17,1584.21,1056.14
03/03/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/03/2020,1300,98.00,Exit,Short,460.44,552.53,368.36
03/03/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/04/2020,100,98.00,Exit,Long,1090.03,1308.04,872.03
03/04/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/04/2020,1300,98.00,Exit,Long,-620.45,744.54,496.36
03/04/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/05/2020,100,98.00,Exit,Long,-1383.29,1659.95,1106.63
03/05/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/05/2020,1300,98.00,Exit,Long,926.74,1112.08,741.39
03/05/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/06/2020,100,98.00,Exit,Short,574.60,689.52,459.68
03/06/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/06/2020,1300,98.00,Exit,Long,-298.10,357.72,238.48
03/06/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/07/2020,100,98.00,Exit,Long,1416.52,1699.83,1133.22
03/07/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/07/2020,1300,98.00,Exit,Short,624.13,748.95,499.30
03/07/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/08/2020,100,98.00,Exit,Short,-302.40,362.88,241.92
03/08/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/08/2020,1300,98.00,Exit,Long,-885.32,1062.39,708.26
03/08/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/09/2020,100,98.00,Exit,Long,959.05,1150.86,767.24
03/09/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/09/2020,1300,98.00,Exit,Short,-165.38,198.45,132.30
03/09/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/10/2020,100,98.00,Exit,Long,343.33,411.99,274.66
03/10/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/10/2020,1300,98.00,Exit,Short,-1181.75,1418.10,945.40
03/10/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/11/2020,100,98.00,Exit,Short,1216.38,1459.65,973.10
03/11/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/11/2020,1300,98.00,Exit,Short,-723.19,867.82,578.55
03/11/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/12/2020,100,98.00,Exit,Long,457.19,548.62,365.75
03/12/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/12/2020,1300,98.00,Exit,Short,1224.65,1469.58,979.72
03/12/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/13/2020,100,98.00,Exit,Short,-1298.05,1557.66,1038.44
03/13/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/13/2020,1300,98.00,Exit,Long,2081.87,2498.24,1665.50
03/13/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/14/2020,100,98.00,Exit,Short,1386.28,1663.54,1109.03
03/14/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/14/2020,1300,98.00,Exit,Short,1199.63,1439.56,959.70
03/14/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/15/2020,100,98.00,Exit,Short,-1249.00,1498.80,999.20
03/15/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/15/2020,1300,98.00,Exit,Long,-504.89,605.86,403.91
03/15/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/16/2020,100,98.00,Exit,Long,-1196.12,1435.34,956.90
03/16/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/16/2020,1300,98.00,Exit,Short,1133.93,1360.72,907.15
03/16/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/17/2020,100,98.00,Exit,Long,341.06,409.28,272.85
03/17/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/17/2020,1300,98.00,Exit,Short,1869.95,2243.95,1495.96
03/17/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/18/2020,100,98.00,Exit,Short,-962.66,1155.19,770.13
03/18/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/18/2020,1300,98.00,Exit,Short,-263.05,315.66,210.44
03/18/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/19/2020,100,98.00,Exit,Long,-1271.29,1525.55,1017.03
03/19/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/19/2020,1300,98.00,Exit,Short,-186.25,223.50,149.00
03/19/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/20/2020,100,98.00,Exit,Long,1577.26,1892.71,1261.80
03/20/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/20/2020,1300,98.00,Exit,Short,-328.78,394.53,263.02
03/20/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/21/2020,100,98.00,Exit,Long,1552.90,1863.48,1242.32
03/21/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/21/2020,1300,98.00,Exit,Long,1681.29,2017.55,1345.03
03/21/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/22/2020,100,98.00,Exit,Short,1760.43,2112.52,1408.34
03/22/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/22/2020,1300,98.00,Exit,Short,504.71,605.65,403.77
03/22/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/23/2020,100,98.00,Exit,Short,2040.42,2448.51,1632.34
03/23/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/23/2020,1300,98.00,Exit,Long,737.41,884.89,589.93
03/23/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/24/2020,100,98.00,Exit,Short,371.08,445.30,296.87
03/24/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/24/2020,1300,98.00,Exit,Short,-907.41,1088.89,725.93
03/24/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/25/2020,100,98.00,Exit,Short,1004.75,1205.70,803.80
03/25/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/25/2020,1300,98.00,Exit,Short,1876.60,2251.92,1501.28
03/25/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/26/2020,100,98.00,Exit,Long,-1211.76,1454.11,969.41
03/26/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/26/2020,1300,98.00,Exit,Long,-221.54,265.85,177.23
03/26/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/27/2020,100,98.00,Exit,Short,2110.51,2532.61,1688.41
03/27/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/27/2020,1300,98.00,Exit,Short,852.74,1023.29,682.20
03/27/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/28/2020,100,98.00,Exit,Long,-1115.14,1338.16,892.11
03/28/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/28/2020,1300,98.00,Exit,Long,786.33,943.60,629.07
03/28/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/29/2020,100,98.00,Exit,Short,2078.48,2494.18,1662.79
03/29/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/29/2020,1300,98.00,Exit,Short,-200.19,240.23,160.15
03/29/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
03/30/2020,100,98.00,Exit,Long,385.33,462.40,308.26
03/30/2020,900,100.00,Entry,Short,0.00,0.00,0.00
03/30/2020,1300,98.00,Exit,Short,-306.15,367.39,244.92
03/30/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
03/31/2020,100,98.00,Exit,Short,-780.66,936.80,624.53
03/31/2020,900,100.00,Entry,Long,0.00,0.00,0.00
03/31/2020,1300,98.00,Exit,Long,-1081.49,1297.78,865.19
03/31/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/01/2020,100,98.00,Exit,Long,1722.36,2066.83,1377.88
04/01/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/01/2020,1300,98.00,Exit,Short,1992.51,2391.01,1594.00
04/01/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/02/2020,100,98.00,Exit,Long,1997.55,2397.06,1598.04
04/02/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/02/2020,1300,98.00,Exit,Long,1285.83,1543.00,1028.66
04/02/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/03/2020,100,98.00,Exit,Long,-391.30,469.56,313.04
04/03/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/03/2020,1300,98.00,Exit,Short,1766.82,2120.19,1413.46
04/03/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/04/2020,100,98.00,Exit,Long,-1037.38,1244.86,829.90
04/04/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/04/2020,1300,98.00,Exit,Long,-1375.26,1650.31,1100.20
04/04/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/05/2020,100,98.00,Exit,Long,-914.43,1097.32,731.54
04/05/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/05/2020,1300,98.00,Exit,Short,1718.90,2062.68,1375.12
04/05/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/06/2020,100,98.00,Exit,Short,798.67,958.41,638.94
04/06/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/06/2020,1300,98.00,Exit,Long,-202.94,243.53,162.35
04/06/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/07/2020,100,98.00,Exit,Long,-1255.18,1506.22,1004.15
04/07/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/07/2020,1300,98.00,Exit,Long,-1036.97,1244.37,829.58
04/07/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/08/2020,100,98.00,Exit,Short,-366.41,439.69,293.13
04/08/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/08/2020,1300,98.00,Exit,Short,-264.65,317.58,211.72
04/08/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/09/2020,100,98.00,Exit,Long,640.61,768.73,512.49
04/09/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/09/2020,1300,98.00,Exit,Long,-1375.03,1650.04,1100.03
04/09/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/10/2020,100,98.00,Exit,Short,1961.67,2354.00,1569.33
04/10/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/10/2020,1300,98.00,Exit,Short,-1130.10,1356.12,904.08
04/10/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/11/2020,100,98.00,Exit,Long,-945.51,1134.61,756.41
04/11/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/11/2020,1300,98.00,Exit,Long,1777.07,2132.48,1421.66
04/11/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/12/2020,100,98.00,Exit,Short,2146.47,2575.76,1717.18
04/12/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/12/2020,1300,98.00,Exit,Short,1251.41,1501.69,1001.13
04/12/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/13/2020,100,98.00,Exit,Short,-526.68,632.01,421.34
04/13/2020,900,100.00,Entry,Long,0.00,0.00,0.00
04/13/2020,1300,98.00,Exit,Long,326.48,391.77,261.18
04/13/2020,2100,100.00,Entry,Long,0.00,0.00,0.00
04/14/2020,100,98.00,Exit,Long,736.35,883.62,589.08
04/14/2020,900,100.00,Entry,Short,0.00,0.00,0.00
04/14/2020,1300,98.00,Exit,Short,550.46,660.55,440.37
04/14/2020,2100,100.00,Entry,Short,0.00,0.00,0.00
04/15/2020,100,98.00,Exit,Short,1587.55,1905.06,1270.04
04/15/2020,900,100.00,Entry,Short,0.00,0.00,0.00
