Entry Date,Entry Time,Exit Date,Exit Time,Net Profit
01/23/2020,2100,01/24/2020,100,-802.7785877380181
01/24/2020,900,01/24/2020,1300,-1231.965180153197
01/24/2020,2100,01/25/2020,100,-738.4992069918949
01/25/2020,900,01/25/2020,1300,-641.3618701254418
01/25/2020,2100,01/26/2020,100,837.8233974674638
01/26/2020,900,01/26/2020,1300,1586.7414575524535
01/26/2020,2100,01/27/2020,100,555.5297188576886
01/27/2020,900,01/27/2020,1300,669.8255847027058
01/27/2020,2100,01/28/2020,100,-681.1117107436063
01/28/2020,900,01/28/2020,1300,1785.156317254063
01/28/2020,2100,01/29/2020,100,-619.38976264391
01/29/2020,900,01/29/2020,1300,-617.9905622828093
01/29/2020,2100,01/30/2020,100,1773.385158941739
01/30/2020,900,01/30/2020,1300,-634.3300996586612
01/30/2020,2100,01/31/2020,100,-1017.1791818199317
01/31/2020,900,01/31/2020,1300,-531.0955932141067
01/31/2020,2100,02/01/2020,100,507.6071397183496
02/01/2020,900,02/01/2020,1300,1559.9656274018962
02/01/2020,2100,02/02/2020,100,1185.0827916719518
02/02/2020,900,02/02/2020,1300,1363.9486023142588
02/02/2020,2100,02/03/2020,100,1743.4978290904487
02/03/2020,900,02/03/2020,1300,-1220.7006109670308
02/03/2020,2100,02/04/2020,100,-975.7341757001276
02/04/2020,900,02/04/2020,1300,1352.4936054162858
02/04/2020,2100,02/05/2020,100,867.5051863189632
02/05/2020,900,02/05/2020,1300,348.5538856790849
02/05/2020,2100,02/06/2020,100,1119.7630395414885
02/06/2020,900,02/06/2020,1300,-1078.6164528878635
02/06/2020,2100,02/07/2020,100,1066.2044230768088
02/07/2020,900,02/07/2020,1300,1911.4658392095157
02/07/2020,2100,02/08/2020,100,-1235.8988354073676
02/08/2020,900,02/08/2020,1300,400.7752092092254
02/08/2020,2100,02/09/2020,100,824.6293948417934
02/09/2020,900,02/09/2020,1300,-278.8696852874183
02/09/2020,2100,02/10/2020,100,-1067.1445353392837
02/10/2020,900,02/10/2020,1300,-265.6165235294003
02/10/2020,2100,02/11/2020,100,-1329.9247783757826
02/11/2020,900,02/11/2020,1300,1552.1957266220363
02/11/2020,2100,02/12/2020,100,-1358.6003073863506
02/12/2020,900,02/12/2020,1300,-1161.1052201063708
02/12/2020,2100,02/13/2020,100,-902.1025055829426
02/13/2020,900,02/13/2020,1300,-1138.2801307869336
02/13/2020,2100,02/14/2020,100,-1153.8935487288572
02/14/2020,900,02/14/2020,1300,-1342.5338285216628
02/14/2020,2100,02/15/2020,100,1167.566737477636
02/15/2020,900,02/15/2020,1300,-897.5948691978865
02/15/2020,2100,02/16/2020,100,1241.9850726963907
02/16/2020,900,02/16/2020,1300,-930.2071250301516
02/16/2020,2100,02/17/2020,100,-374.114130115986
02/17/2020,900,02/17/2020,1300,-866.1882643405523
02/17/2020,2100,02/18/2020,100,-875.5381425423121
02/18/2020,900,02/18/2020,1300,862.8729693809654
02/18/2020,2100,02/19/2020,100,-813.2897193914035
02/19/2020,900,02/19/2020,1300,-1114.904237508235
02/19/2020,2100,02/20/2020,100,456.53484670059186
02/20/2020,900,02/20/2020,1300,514.2112140289792
02/20/2020,2100,02/21/2020,100,2117.6055626440775
02/21/2020,900,02/21/2020,1300,-1324.0452946126272
02/21/2020,2100,02/22/2020,100,1619.4435542404242
02/22/2020,900,02/22/2020,1300,-306.37945737513814
02/22/2020,2100,02/23/2020,100,2131.4351169606753
02/23/2020,900,02/23/2020,1300,-982.3291063006598
02/23/2020,2100,02/24/2020,100,1652.0913594020917
02/24/2020,900,02/24/2020,1300,-1127.9017701773041
02/24/2020,2100,02/25/2020,100,807.2589675058022
02/25/2020,900,02/25/2020,1300,-577.0471979102977
02/25/2020,2100,02/26/2020,100,-1282.9581842019197
02/26/2020,900,02/26/2020,1300,-1113.1651838383154
02/26/2020,2100,02/27/2020,100,-498.1686761377196
02/27/2020,900,02/27/2020,1300,871.3175858862397
02/27/2020,2100,02/28/2020,100,1390.5171809896024
02/28/2020,900,02/28/2020,1300,625.8682875845402
02/28/2020,2100,02/29/2020,100,1917.5671397755134
02/29/2020,900,02/29/2020,1300,-1330.15932921968
02/29/2020,2100,03/01/2020,100,-707.3800464984416
03/01/2020,900,03/01/2020,1300,-639.1497784717624
03/01/2020,2100,03/02/2020,100,-1072.1071358467225
03/02/2020,900,03/02/2020,1300,-851.2413315661249
03/02/2020,2100,03/03/2020,100,-1330.1749835480778
03/03/2020,900,03/03/2020,1300,450.4442101657893
03/03/2020,2100,03/04/2020,100,1080.0340641241582
03/04/2020,900,03/04/2020,1300,-630.4493418510328
03/04/2020,2100,03/05/2020,100,-1393.2894311554026
03/05/2020,900,03/05/2020,1300,916.7363034322921
03/05/2020,2100,03/06/2020,100,564.5959588454891
03/06/2020,900,03/06/2020,1300,-308.0982215213017
03/06/2020,2100,03/07/2020,100,1406.5246871376528
03/07/2020,900,03/07/2020,1300,614.1266402200836
03/07/2020,2100,03/08/2020,100,-312.4020979188907
03/08/2020,900,03/08/2020,1300,-895.3224999615259
03/08/2020,2100,03/09/2020,100,949.0526286161904
03/09/2020,900,03/09/2020,1300,-175.37835736075354
03/09/2020,2100,03/10/2020,100,333.32735495642527
03/10/2020,900,03/10/2020,1300,-1191.7493889954014
03/10/2020,2100,03/11/2020,100,1206.3765301915105
03/11/2020,900,03/11/2020,1300,-733.1851022481889
03/11/2020,2100,03/12/2020,100,447.1869998526333
03/12/2020,900,03/12/2020,1300,1214.6508285925047
03/12/2020,2100,03/13/2020,100,-1308.0523693944428
03/13/2020,900,03/13/2020,1300,2071.8702644524674
03/13/2020,2100,03/14/2020,100,1376.2832995145432
03/14/2020,900,03/14/2020,1300,1189.6298620082123
03/14/2020,2100,03/15/2020,100,-1259.0000303846816
03/15/2020,900,03/15/2020,1300,-514.8855473300487
03/15/2020,2100,03/16/2020,100,-1206.1207245761727
03/16/2020,900,03/16/2020,1300,1123.9317745795888
03/16/2020,2100,03/17/2020,100,331.0629517726278
03/17/2020,900,03/17/2020,1300,1859.9546559692799
03/17/2020,2100,03/18/2020,100,-972.6562694484962
03/18/2020,900,03/18/2020,1300,-273.05090873016593
03/18/2020,2100,03/19/2020,100,-1281.2917486207816
03/19/2020,900,03/19/2020,1300,-196.24937900558677
03/19/2020,2100,03/20/2020,100,1567.2561767756422
03/20/2020,900,03/20/2020,1300,-338.7773439582937
03/20/2020,2100,03/21/2020,100,1542.9030059146135
03/21/2020,900,03/21/2020,1300,1671.289767145077
03/21/2020,2100,03/22/2020,100,1750.4302346435484
03/22/2020,900,03/22/2020,1300,494.7077973162035
03/22/2020,2100,03/23/2020,100,2030.422505761455
03/23/2020,900,03/23/2020,1300,727.4065827002735
03/23/2020,2100,03/24/2020,100,361.0838567347416
03/24/2020,900,03/24/2020,1300,-917.4064720596596
03/24/2020,2100,03/25/2020,100,994.7523393386336
03/25/2020,900,03/25/2020,1300,1866.600511951585
03/25/2020,2100,03/26/2020,100,-1221.7610536538411
03/26/2020,900,03/26/2020,1300,-231.5399251915755
03/26/2020,2100,03/27/2020,100,2100.5088506325155
03/27/2020,900,03/27/2020,1300,842.7438924662254
03/27/2020,2100,03/28/2020,100,-1125.1354988804756
03/28/2020,900,03/28/2020,1300,776.3336720784453
03/28/2020,2100,03/29/2020,100,2068.4827830930303
03/29/2020,900,03/29/2020,1300,-210.18912443383303
03/29/2020,2100,03/30/2020,100,375.33017684542506
03/30/2020,900,03/30/2020,1300,-316.1545991320538
03/30/2020,2100,03/31/2020,100,-790.6637377412331
03/31/2020,900,03/31/2020,1300,-1091.4851604110556
03/31/2020,2100,04/01/2020,100,1712.3552369682036
04/01/2020,900,04/01/2020,1300,1982.5057326691972
04/01/2020,2100,04/02/2020,100,1987.5486154259402
04/02/2020,900,04/02/2020,1300,1275.8308847342532
04/02/2020,2100,04/03/2020,100,-401.30186358613014
04/03/2020,900,04/03/2020,1300,1756.8236210108773
04/03/2020,2100,04/04/2020,100,-1047.38087160163
04/04/2020,900,04/04/2020,1300,-1385.2559811233523
04/04/2020,2100,04/05/2020,100,-924.4295074713369
04/05/2020,900,04/05/2020,1300,1708.9002615631493
04/05/2020,2100,04/06/2020,100,788.6749802534429
04/06/2020,900,04/06/2020,1300,-212.93818947520887
04/06/2020,2100,04/07/2020,100,-1265.1821392085214
04/07/2020,900,04/07/2020,1300,-1046.9728563757758
04/07/2020,2100,04/08/2020,100,-376.4098080281291
04/08/2020,900,04/08/2020,1300,-274.6512572802476
04/08/2020,2100,04/09/2020,100,630.6097854997042
04/09/2020,900,04/09/2020,1300,-1385.0339744427406
04/09/2020,2100,04/10/2020,100,1951.6678775911826
04/10/2020,900,04/10/2020,1300,-1140.10118542676
04/10/2020,2100,04/11/2020,100,-955.510427634721
04/11/2020,900,04/11/2020,1300,1767.0691926582374
04/11/2020,2100,04/12/2020,100,2136.470209515838
04/12/2020,900,04/12/2020,1300,1241.4082537844504
04/12/2020,2100,04/13/2020,100,-536.6782906433974
04/13/2020,900,04/13/2020,1300,316.47894664558294
04/13/2020,2100,04/14/2020,100,726.346456997825
04/14/2020,900,04/14/2020,1300,540.46221379439
04/14/2020,2100,04/15/2020,100,1577.5514798644292
04/15/2020,900,04/15/2020,1300,521.4817587942091
04/15/2020,2100,04/16/2020,100,1252.0268700792026
04/16/2020,900,04/16/2020,1300,1609.0986277214843
04/16/2020,2100,04/17/2020,100,1394.1215575197145
04/17/2020,900,04/17/2020,1300,669.5737381541095
04/17/2020,2100,04/18/2020,100,1817.836599746299
04/18/2020,900,04/18/2020,1300,1649.2735462700232
04/18/2020,2100,04/19/2020,100,-540.8807547010391
04/19/2020,900,04/19/2020,1300,539.0097279588952
04/19/2020,2100,04/20/2020,100,525.1322269356548
04/20/2020,900,04/20/2020,1300,2052.3688469123645
04/20/2020,2100,04/21/2020,100,1045.3985682673872
04/21/2020,900,04/21/2020,1300,861.8025143837855
04/21/2020,2100,04/22/2020,100,1218.3096861679132
04/22/2020,900,04/22/2020,1300,-895.3828105112603
04/22/2020,2100,04/23/2020,100,2105.684188389243
04/23/2020,900,04/23/2020,1300,834.2478310759045
04/23/2020,2100,04/24/2020,100,2047.1360156928513
04/24/2020,900,04/24/2020,1300,337.233033633887
04/24/2020,2100,04/25/2020,100,1344.8762804209669
04/25/2020,900,04/25/2020,1300,-875.5724164026446
04/25/2020,2100,04/26/2020,100,-867.2148755399012
04/26/2020,900,04/26/2020,1300,556.645234421434
04/26/2020,2100,04/27/2020,100,1086.3172067009773
04/27/2020,900,04/27/2020,1300,2125.8406330720454
04/27/2020,2100,04/28/2020,100,1422.4808511453084
04/28/2020,900,04/28/2020,1300,-1144.2902774824424
04/28/2020,2100,04/29/2020,100,1818.2857396646443
04/29/2020,900,04/29/2020,1300,1178.0250429550538
04/29/2020,2100,04/30/2020,100,-942.5156011763214
04/30/2020,900,04/30/2020,1300,323.88988955627667
04/30/2020,2100,05/01/2020,100,497.3735938548964
05/01/2020,900,05/01/2020,1300,-1080.8821106027754
05/01/2020,2100,05/02/2020,100,1803.9524678178072
05/02/2020,900,05/02/2020,1300,732.017409736224
05/02/2020,2100,05/03/2020,100,1298.4622221382015
05/03/2020,900,05/03/2020,1300,-810.3438934257114
05/03/2020,2100,05/04/2020,100,1938.7040121744212
05/04/2020,900,05/04/2020,1300,1435.9035989435788
05/04/2020,2100,05/05/2020,100,1073.8859816199927
05/05/2020,900,05/05/2020,1300,1000.9496824736472
05/05/2020,2100,05/06/2020,100,-304.8209054190855
05/06/2020,900,05/06/2020,1300,1528.668948601951
05/06/2020,2100,05/07/2020,100,-1212.491513799329
05/07/2020,900,05/07/2020,1300,-229.4598961335974
05/07/2020,2100,05/08/2020,100,-510.7642951670699
05/08/2020,900,05/08/2020,1300,739.6584896954041
05/08/2020,2100,05/09/2020,100,-376.24305648949223
05/09/2020,900,05/09/2020,1300,-552.3667122524865
05/09/2020,2100,05/10/2020,100,490.02835172283744
05/10/2020,900,05/10/2020,1300,-178.35355445008847
05/10/2020,2100,05/11/2020,100,-1193.966780650858
